Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H
2013-10-29,501,V,Orlando,18,26,20,23,87,187,188.5,675,94.5
2013-10-29,502,H,Indiana,23,17,29,28,97,12.5,12,-1025,9.5
2013-10-29,503,V,Chicago,15,18,25,37,95,187.5,188.5,180,3.5
2013-10-29,504,H,Miami,17,37,24,29,107,5,5,-220,93.5
2013-10-29,505,V,LAClippers,30,27,22,24,103,9,9.5,-575,5.5
2013-10-29,506,H,LALakers,28,27,20,41,116,196.5,202.5,435,103
2013-10-30,701,V,Miami,14,35,45,16,110,9.5,9.5,-795,9
2013-10-30,702,H,Philadelphia,33,18,34,29,114,195.5,195,495,96.5
2013-10-30,703,V,Brooklyn,26,22,22,24,94,3,3,-155,3
2013-10-30,704,H,Cleveland,27,22,30,19,98,196,194,135,98
2013-10-30,705,V,Boston,26,11,34,16,87,190,189.5,305,93.5
2013-10-30,706,H,Toronto,21,28,22,22,93,7.5,8,-385,1.5
2013-10-30,707,V,Washington,22,21,30,29,102,190.5,189,120,3
2013-10-30,708,H,Detroit,24,31,26,32,113,3,2.5,-140,93
2013-10-30,709,V,Milwaukee,18,13,33,19,83,197.5,196.5,290,2
2013-10-30,710,H,NewYork,24,32,18,16,90,9,8,-360,97
2013-10-30,711,V,Charlotte,19,20,22,22,83,204.5,200,1030,98
2013-10-30,712,H,Houston,17,28,22,29,96,12,13,-1630,6
2013-10-30,713,V,Orlando,27,25,28,23,115,196,199,495,100
2013-10-30,714,H,Minnesota,38,22,27,16,120,9,10.5,-795,4
2013-10-30,715,V,Indiana,14,22,23,36,95,3,187.5,100,3.5
2013-10-30,716,H,NewOrleans,24,26,16,24,90,186.5,1.5,-120,95.5
2013-10-30,717,V,Atlanta,28,27,24,30,109,196,196,205,98.5
2013-10-30,718,H,Dallas,33,20,33,32,118,4.5,6,-245,5
2013-10-30,719,V,Memphis,20,7,31,36,94,187,189,210,3
2013-10-30,720,H,SanAntonio,18,30,24,29,101,6,6,-250,92.5
2013-10-30,721,V,OklahomaCity,29,28,24,20,101,4.5,6.5,-275,0.5
2013-10-30,722,H,Utah,29,19,25,25,98,196,191.5,225,93.5
2013-10-30,723,V,Portland,16,30,23,22,91,3,5.5,-215,6
2013-10-30,724,H,Phoenix,30,20,31,23,104,198,197.5,180,98.5
2013-10-30,725,V,Denver,22,23,27,16,88,3,203.5,120,101.5
2013-10-30,726,H,Sacramento,25,23,22,20,90,207.5,2.5,-140,0.5
2013-10-30,727,V,LALakers,16,24,23,31,94,203.5,206,690,101.5
2013-10-30,728,H,GoldenState,26,33,37,29,125,11,12.5,-1090,1.5
2013-10-31,501,V,NewYork,16,22,23,20,81,189.5,188,290,93.5
2013-10-31,502,H,Chicago,26,17,28,11,82,7.5,7.5,-350,3
2013-10-31,503,V,GoldenState,28,27,25,35,115,203,205.5,210,2
2013-10-31,504,H,LAClippers,36,32,25,33,126,7,6,-250,103.5
2013-11-01,701,V,NewOrleans,20,15,25,30,90,4,4,-175,6.5
2013-11-01,702,H,Orlando,22,31,32,25,110,194.5,193.5,155,97
2013-11-01,703,V,Cleveland,23,26,17,18,84,1.5,3.5,-165,3.5
2013-11-01,704,H,Charlotte,30,24,21,15,90,190.5,188,145,94
2013-11-01,705,V,Philadelphia,21,23,30,35,109,196.5,201,405,99
2013-11-01,706,H,Washington,33,21,20,28,102,8.5,9.5,-530,2
2013-11-01,707,V,Toronto,24,15,29,27,95,194,195,140,1.5
2013-11-01,708,H,Atlanta,25,24,30,23,102,3.5,3.5,-160,95
2013-11-01,709,V,Milwaukee,16,31,24,34,105,191,185.5,120,3
2013-11-01,710,H,Boston,29,34,20,15,98,2.5,2.5,-140,91.5
2013-11-01,711,V,Dallas,22,28,22,33,105,202,207,230,104
2013-11-01,712,H,Houston,38,23,24,28,113,7.5,6.5,-280,pk
2013-11-01,713,V,Detroit,21,20,28,26,108,186.5,189.5,275,94
2013-11-01,714,H,Memphis,17,30,20,28,111,7.5,7.5,-335,2
2013-11-01,715,V,OklahomaCity,19,20,21,21,81,1,201,115,4.5
2013-11-01,716,H,Minnesota,34,25,29,12,100,200.5,2,-135,99.5
2013-11-01,717,V,Miami,18,29,20,33,100,3,4,-170,3
2013-11-01,718,H,Brooklyn,27,20,31,23,101,194.5,195,150,97.5
2013-11-01,719,V,Portland,24,40,27,22,113,199.5,198,165,99
2013-11-01,720,H,Denver,22,28,21,27,98,6,4.5,-190,6.5
2013-11-01,721,V,Utah,23,23,16,22,84,197,195.5,135,99
2013-11-01,722,H,Phoenix,29,14,20,24,87,3,3,-155,3
2013-11-01,723,V,LAClippers,24,30,25,31,110,4,3.5,-165,100.5
2013-11-01,724,H,Sacramento,22,23,32,24,101,196,203,145,0.5
2013-11-01,725,V,SanAntonio,16,25,22,28,91,7,7,-345,6
2013-11-01,726,H,LALakers,23,19,19,24,85,205.5,208.5,285,105
2013-11-02,501,V,Cleveland,16,21,18,19,74,189,188,350,94
2013-11-02,502,H,Indiana,21,22,19,27,89,8.5,8,-430,3
2013-11-02,503,V,Chicago,34,30,19,21,104,9,9,-450,1
2013-11-02,504,H,Philadelphia,22,27,33,25,107,192,194.5,370,97.5
2013-11-02,505,V,Charlotte,15,26,21,22,84,189.5,184.5,340,91.5
2013-11-02,506,H,NewOrleans,33,23,21,28,105,7.5,8.5,-420,1
2013-11-02,507,V,Toronto,27,24,26,20,97,193.5,1,-120,95
2013-11-02,508,H,Milwaukee,19,27,19,25,90,pk,190.5,100,1
2013-11-02,509,V,Memphis,16,27,20,36,99,190,194.5,130,97.5
2013-11-02,510,H,Dallas,32,17,24,38,111,2,3,-150,0.5
2013-11-02,511,V,Houston,16,24,33,31,104,6,6,-260,7.5
2013-11-02,512,H,Utah,24,32,17,20,93,201,199.5,220,100
2013-11-02,513,V,SanAntonio,19,20,35,31,105,3,2.5,-140,4.5
2013-11-02,514,H,Portland,21,29,32,33,115,197,198.5,120,100
2013-11-02,515,V,Sacramento,17,19,23,28,87,207,208,520,103
2013-11-02,516,H,GoldenState,27,29,23,19,98,9.5,11,-750,0.5
2013-11-03,701,V,Boston,21,14,23,19,77,191.5,193,367,96
2013-11-03,702,H,Detroit,24,21,18,24,87,9.5,9,-471,2
2013-11-03,703,V,Washington,27,21,16,29,93,200,199.5,890,100.5
2013-11-03,704,H,Miami,33,28,26,16,103,13.5,12.5,-1500,3.5
2013-11-03,705,V,Brooklyn,22,16,21,27,86,6,5.5,-240,5
2013-11-03,706,H,Orlando,22,19,33,33,107,197,195,200,96.5
2013-11-03,707,V,Phoenix,24,21,25,26,96,197,198.5,850,99
2013-11-03,708,H,OklahomaCity,21,23,23,36,103,13.5,12.5,-1400,8
2013-11-03,709,V,Minnesota,40,24,29,16,109,195,195,135,97.5
2013-11-03,710,H,NewYork,19,30,29,22,100,4,3,-155,6
2013-11-03,711,V,Atlanta,22,27,27,27,103,2.5,pk,-120,3.5
2013-11-03,712,H,LALakers,33,29,26,17,105,205,205.5,100,104.5
2013-11-04,501,V,GoldenState,36,30,32,12,110,7,7,-280,104.5
2013-11-04,502,H,Philadelphia,22,20,23,25,90,211.5,211.5,230,2.5
2013-11-04,503,V,Minnesota,23,15,23,31,92,195.5,198,110,4
2013-11-04,504,H,Cleveland,31,24,21,17,93,1.5,1.5,-130,98
2013-11-04,505,V,Boston,24,26,22,16,88,188,185.5,660,93.5
